code,name,descr
US,United States,Country in North America
IN,India,Country in South Asia
DE,Germany,Country in Central Europe
FR,France,Country known for art and culture
GB,United Kingdom,Country in Europe
CA,Canada,Country in North America
AU,Australia,Country and continent in the Southern Hemisphere
JP,Japan,Island nation known for technology
CN,China,Country in East Asia
BR,Brazil,Largest country in South America
MX,Mexico,Country in North America
IT,Italy,European country known for history and cuisine
ES,Spain,European country known for tourism
RU,Russia,World’s largest country by land area
ZA,South Africa,Country at the southern tip of Africa
KR,South Korea,Asian country known for technology
SG,Singapore,City-state in Southeast Asia
AE,United Arab Emirates,Middle Eastern federation of seven emirates
SA,Saudi Arabia,Middle Eastern country known for oil production
AR,Argentina,Country in South America
CH,Switzerland,European country known for finance and mountains
NL,Netherlands,European country known for canals and windmills
SE,Sweden,Nordic country known for innovation
NO,Norway,Nordic country known for fjords
TR,Turkey,Country bridging Europe and Asia
