ID,campaigns_ID,lead_ID,contact_ID,memberStatus_code,createdAt,createdBy,modifiedAt,modifiedBy
cm70e8400-e29b-41d4-a716-446655440001,cp60e8400-e29b-41d4-a716-446655440001,c10e8400-e29b-41d4-a716-446655440001,,SENT,2024-01-06T08:00:00Z,system,2024-01-06T08:00:00Z,system
cm70e8400-e29b-41d4-a716-446655440002,cp60e8400-e29b-41d4-a716-446655440002,c10e8400-e29b-41d4-a716-446655440002,,OPEN,2024-01-06T08:01:00Z,system,2024-01-06T08:01:00Z,system
cm70e8400-e29b-41d4-a716-446655440003,cp60e8400-e29b-41d4-a716-446655440003,,c30e8400-e29b-41d4-a716-446655440003,RESPONDED,2024-01-06T08:02:00Z,system,2024-01-06T08:02:00Z,system
cm70e8400-e29b-41d4-a716-446655440004,cp60e8400-e29b-41d4-a716-446655440004,c10e8400-e29b-41d4-a716-446655440004,,SENT,2024-01-06T08:03:00Z,system,2024-01-06T08:03:00Z,system
cm70e8400-e29b-41d4-a716-446655440005,cp60e8400-e29b-41d4-a716-446655440005,,c30e8400-e29b-41d4-a716-446655440005,OPEN,2024-01-06T08:04:00Z,system,2024-01-06T08:04:00Z,system
cm70e8400-e29b-41d4-a716-446655440006,cp60e8400-e29b-41d4-a716-446655440006,c10e8400-e29b-41d4-a716-446655440006,,RESPONDED,2024-01-06T08:05:00Z,system,2024-01-06T08:05:00Z,system
cm70e8400-e29b-41d4-a716-446655440007,cp60e8400-e29b-41d4-a716-446655440007,,c30e8400-e29b-41d4-a716-446655440007,SENT,2024-01-06T08:06:00Z,system,2024-01-06T08:06:00Z,system
cm70e8400-e29b-41d4-a716-446655440008,cp60e8400-e29b-41d4-a716-446655440008,c10e8400-e29b-41d4-a716-446655440008,,OPEN,2024-01-06T08:07:00Z,system,2024-01-06T08:07:00Z,system
cm70e8400-e29b-41d4-a716-446655440009,cp60e8400-e29b-41d4-a716-446655440009,,c30e8400-e29b-41d4-a716-446655440009,RESPONDED,2024-01-06T08:08:00Z,system,2024-01-06T08:08:00Z,system
cm70e8400-e29b-41d4-a716-446655440010,cp60e8400-e29b-41d4-a716-446655440010,c10e8400-e29b-41d4-a716-446655440010,,SENT,2024-01-06T08:09:00Z,system,2024-01-06T08:09:00Z,system
cm70e8400-e29b-41d4-a716-446655440011,cp60e8400-e29b-41d4-a716-446655440011,,c30e8400-e29b-41d4-a716-446655440011,OPEN,2024-01-06T08:10:00Z,system,2024-01-06T08:10:00Z,system
cm70e8400-e29b-41d4-a716-446655440012,cp60e8400-e29b-41d4-a716-446655440012,c10e8400-e29b-41d4-a716-446655440012,,RESPONDED,2024-01-06T08:11:00Z,system,2024-01-06T08:11:00Z,system
cm70e8400-e29b-41d4-a716-446655440013,cp60e8400-e29b-41d4-a716-446655440013,,c30e8400-e29b-41d4-a716-446655440013,SENT,2024-01-06T08:12:00Z,system,2024-01-06T08:12:00Z,system
cm70e8400-e29b-41d4-a716-446655440014,cp60e8400-e29b-41d4-a716-446655440014,c10e8400-e29b-41d4-a716-446655440014,,OPEN,2024-01-06T08:13:00Z,system,2024-01-06T08:13:00Z,system
cm70e8400-e29b-41d4-a716-446655440015,cp60e8400-e29b-41d4-a716-446655440015,,c30e8400-e29b-41d4-a716-446655440015,RESPONDED,2024-01-06T08:14:00Z,system,2024-01-06T08:14:00Z,system
cm70e8400-e29b-41d4-a716-446655440016,cp60e8400-e29b-41d4-a716-446655440016,c10e8400-e29b-41d4-a716-446655440016,,SENT,2024-01-06T08:15:00Z,system,2024-01-06T08:15:00Z,system
cm70e8400-e29b-41d4-a716-446655440017,cp60e8400-e29b-41d4-a716-446655440017,,c30e8400-e29b-41d4-a716-446655440017,OPEN,2024-01-06T08:16:00Z,system,2024-01-06T08:16:00Z,system
cm70e8400-e29b-41d4-a716-446655440018,cp60e8400-e29b-41d4-a716-446655440018,c10e8400-e29b-41d4-a716-446655440018,,RESPONDED,2024-01-06T08:17:00Z,system,2024-01-06T08:17:00Z,system
cm70e8400-e29b-41d4-a716-446655440019,cp60e8400-e29b-41d4-a716-446655440019,,c30e8400-e29b-41d4-a716-446655440019,SENT,2024-01-06T08:18:00Z,system,2024-01-06T08:18:00Z,system
cm70e8400-e29b-41d4-a716-446655440020,cp60e8400-e29b-41d4-a716-446655440020,c10e8400-e29b-41d4-a716-446655440020,,OPEN,2024-01-06T08:19:00Z,system,2024-01-06T08:19:00Z,system
cm70e8400-e29b-41d4-a716-446655440021,cp60e8400-e29b-41d4-a716-446655440021,,c30e8400-e29b-41d4-a716-446655440021,RESPONDED,2024-01-06T08:20:00Z,system,2024-01-06T08:20:00Z,system
cm70e8400-e29b-41d4-a716-446655440022,cp60e8400-e29b-41d4-a716-446655440022,c10e8400-e29b-41d4-a716-446655440022,,SENT,2024-01-06T08:21:00Z,system,2024-01-06T08:21:00Z,system
cm70e8400-e29b-41d4-a716-446655440023,cp60e8400-e29b-41d4-a716-446655440023,,c30e8400-e29b-41d4-a716-446655440023,OPEN,2024-01-06T08:22:00Z,system,2024-01-06T08:22:00Z,system
