ID,event_ID,hall_ID,sessionDate,startTime,endTime,basePrice,currency_code,seatsSold
501AB,101AB,701XY,2025-02-05,18:00,20:00,1500,INR,320
502BC,102BC,702PQ,2025-03-11,19:00,21:00,1800,INR,280
503CD,103CD,703RS,2025-04-02,16:00,19:00,2500,INR,450
504DE,104DE,704TU,2025-02-18,14:00,16:00,900,INR,210
505EF,105EF,705VW,2025-06-15,20:00,22:00,1200,INR,380
506FG,106FG,706JK,2025-05-03,17:00,19:00,800,INR,115
507GH,107GH,707LM,2025-09-20,10:00,13:00,5000,USD,600
508HI,108HI,708MN,2025-07-10,09:00,12:00,4200,USD,350
509IJ,109IJ,709OP,2025-03-16,11:00,17:00,700,INR,190
510JK,110JK,710QR,2025-08-01,10:00,13:00,300,EUR,120
511KL,111KL,711ST,2025-01-20,15:00,17:00,650,INR,75
512LM,112LM,712UV,2025-04-25,09:00,13:00,1800,INR,260
513MN,113MN,713WX,2025-11-10,12:00,18:00,1200,INR,430
514NO,114NO,714FG,2025-10-05,19:00,22:00,5000,USD,190
515OP,115OP,715ZA,2025-06-01,14:00,17:00,900,INR,160
516PQ,116PQ,716BC,2025-02-05,08:00,20:00,150,INR,85
517QR,117QR,717DE,2025-09-14,10:00,16:00,250,INR,310
518RS,118RS,718HI,2025-12-01,16:00,22:00,1500,INR,510
519ST,119ST,719KL,2025-03-02,19:00,21:00,2000,INR,280
520TU,120TU,720MN,2025-07-22,10:00,15:00,500,INR,140
