ID,subject,account_ID,invoiceDate,dueDate,totalAmount,status_code,createdAt,createdBy,modifiedAt,modifiedBy
inv550e8400-e29b-41d4-a716-446655440001,Invoice 01,ac001,2024-01-05,2024-02-05,118000,DRAFT,2024-01-05T08:00:00Z,system,2024-01-05T08:00:00Z,system
inv550e8400-e29b-41d4-a716-446655440002,Invoice 02,ac002,2024-01-06,2024-02-06,129800,SENT,2024-01-06T08:01:00Z,system,2024-01-06T08:01:00Z,system
inv550e8400-e29b-41d4-a716-446655440003,Invoice 03,ac003,2024-01-07,2024-02-07,141600,PAID,2024-01-07T08:02:00Z,system,2024-01-07T08:02:00Z,system
inv550e8400-e29b-41d4-a716-446655440004,Invoice 04,ac004,2024-01-08,2024-02-08,153400,OVERDUE,2024-01-08T08:03:00Z,system,2024-01-08T08:03:00Z,system
inv550e8400-e29b-41d4-a716-446655440005,Invoice 05,ac005,2024-01-09,2024-02-09,165200,SENT,2024-01-09T08:04:00Z,system,2024-01-09T08:04:00Z,system
inv550e8400-e29b-41d4-a716-446655440006,Invoice 06,ac006,2024-01-10,2024-02-10,177000,DRAFT,2024-01-10T08:05:00Z,system,2024-01-10T08:05:00Z,system
inv550e8400-e29b-41d4-a716-446655440007,Invoice 07,ac007,2024-01-11,2024-02-11,188800,PAID,2024-01-11T08:06:00Z,system,2024-01-11T08:06:00Z,system
inv550e8400-e29b-41d4-a716-446655440008,Invoice 08,ac008,2024-01-12,2024-02-12,200600,OVERDUE,2024-01-12T08:07:00Z,system,2024-01-12T08:07:00Z,system
inv550e8400-e29b-41d4-a716-446655440009,Invoice 09,ac009,2024-01-13,2024-02-13,212400,SENT,2024-01-13T08:08:00Z,system,2024-01-13T08:08:00Z,system
inv550e8400-e29b-41d4-a716-446655440010,Invoice 10,ac010,2024-01-14,2024-02-14,224200,DRAFT,2024-01-14T08:09:00Z,system,2024-01-14T08:09:00Z,system
inv550e8400-e29b-41d4-a716-446655440011,Invoice 11,ac011,2024-01-15,2024-02-15,236000,PAID,2024-01-15T08:10:00Z,system,2024-01-15T08:10:00Z,system
inv550e8400-e29b-41d4-a716-446655440012,Invoice 12,ac012,2024-01-16,2024-02-16,247800,OVERDUE,2024-01-16T08:11:00Z,system,2024-01-16T08:11:00Z,system
inv550e8400-e29b-41d4-a716-446655440013,Invoice 13,ac013,2024-01-17,2024-02-17,259600,SENT,2024-01-17T08:12:00Z,system,2024-01-17T08:12:00Z,system
inv550e8400-e29b-41d4-a716-446655440014,Invoice 14,ac014,2024-01-18,2024-02-18,271400,DRAFT,2024-01-18T08:13:00Z,system,2024-01-18T08:13:00Z,system
inv550e8400-e29b-41d4-a716-446655440015,Invoice 15,ac015,2024-01-19,2024-02-19,283200,PAID,2024-01-19T08:14:00Z,system,2024-01-19T08:14:00Z,system
inv550e8400-e29b-41d4-a716-446655440016,Invoice 16,ac016,2024-01-20,2024-02-20,295000,OVERDUE,2024-01-20T08:15:00Z,system,2024-01-20T08:15:00Z,system
inv550e8400-e29b-41d4-a716-446655440017,Invoice 17,ac017,2024-01-21,2024-02-21,306800,SENT,2024-01-21T08:16:00Z,system,2024-01-21T08:16:00Z,system
inv550e8400-e29b-41d4-a716-446655440018,Invoice 18,ac018,2024-01-22,2024-02-22,318600,DRAFT,2024-01-22T08:17:00Z,system,2024-01-22T08:17:00Z,system
inv550e8400-e29b-41d4-a716-446655440019,Invoice 19,ac019,2024-01-23,2024-02-23,330400,PAID,2024-01-23T08:18:00Z,system,2024-01-23T08:18:00Z,system
inv550e8400-e29b-41d4-a716-446655440020,Invoice 20,ac020,2024-01-24,2024-02-24,342200,OVERDUE,2024-01-24T08:19:00Z,system,2024-01-24T08:19:00Z,system
inv550e8400-e29b-41d4-a716-446655440021,Invoice 21,ac021,2024-01-25,2024-02-25,354000,SENT,2024-01-25T08:20:00Z,system,2024-01-25T08:20:00Z,system
