ID,campaignName,type_code,status_code,startDate,endDate,budget,expectedRevenue,owner_ID,createdAt,createdBy,modifiedAt,modifiedBy
cp60e8400-e29b-41d4-a716-446655440001,Q1 Email Blast,EMAIL,PLANNED,2024-01-10,2024-01-31,50000.00,120000.00,880e8400-e29b-41d4-a716-446655440001,2024-01-05T08:00:00Z,system,2024-01-05T08:00:00Z,system
cp60e8400-e29b-41d4-a716-446655440002,Product Webinar Jan,WEBINAR,ACTIVE,2024-01-15,2024-01-20,75000.00,180000.00,880e8400-e29b-41d4-a716-446655440002,2024-01-05T08:01:00Z,system,2024-01-05T08:01:00Z,system
cp60e8400-e29b-41d4-a716-446655440003,Industry Expo Delhi,EVENT,PLANNED,2024-02-05,2024-02-07,200000.00,450000.00,880e8400-e29b-41d4-a716-446655440003,2024-01-05T08:02:00Z,system,2024-01-05T08:02:00Z,system
cp60e8400-e29b-41d4-a716-446655440004,LinkedIn Ads Feb,SOCIAL_MEDIA,ACTIVE,2024-02-01,2024-02-28,60000.00,150000.00,880e8400-e29b-41d4-a716-446655440004,2024-01-05T08:03:00Z,system,2024-01-05T08:03:00Z,system
cp60e8400-e29b-41d4-a716-446655440005,Referral Drive Q1,EMAIL,ACTIVE,2024-01-20,2024-03-31,40000.00,100000.00,880e8400-e29b-41d4-a716-446655440005,2024-01-05T08:04:00Z,system,2024-01-05T08:04:00Z,system
cp60e8400-e29b-41d4-a716-446655440006,Cloud Webinar,WEBINAR,PLANNED,2024-02-10,2024-02-12,80000.00,200000.00,880e8400-e29b-41d4-a716-446655440006,2024-01-05T08:05:00Z,system,2024-01-05T08:05:00Z,system
cp60e8400-e29b-41d4-a716-446655440007,Startup Meetup Bangalore,EVENT,COMPLETED,2023-12-05,2023-12-06,120000.00,260000.00,880e8400-e29b-41d4-a716-446655440007,2023-11-15T08:06:00Z,system,2023-12-07T08:06:00Z,system
cp60e8400-e29b-41d4-a716-446655440008,Twitter Awareness,SOCIAL_MEDIA,ACTIVE,2024-01-25,2024-02-25,30000.00,90000.00,880e8400-e29b-41d4-a716-446655440008,2024-01-05T08:07:00Z,system,2024-01-05T08:07:00Z,system
cp60e8400-e29b-41d4-a716-446655440009,CRM Launch Email,EMAIL,COMPLETED,2023-12-01,2023-12-15,45000.00,140000.00,880e8400-e29b-41d4-a716-446655440009,2023-11-20T08:08:00Z,system,2023-12-16T08:08:00Z,system
cp60e8400-e29b-41d4-a716-446655440010,Finance Leaders Webinar,WEBINAR,ACTIVE,2024-02-18,2024-02-19,90000.00,230000.00,880e8400-e29b-41d4-a716-446655440010,2024-01-05T08:09:00Z,system,2024-01-05T08:09:00Z,system
cp60e8400-e29b-41d4-a716-446655440011,Manufacturing Expo,EVENT,PLANNED,2024-03-10,2024-03-12,250000.00,600000.00,880e8400-e29b-41d4-a716-446655440011,2024-01-05T08:10:00Z,system,2024-01-05T08:10:00Z,system
cp60e8400-e29b-41d4-a716-446655440012,Instagram Ads,SOCIAL_MEDIA,ACTIVE,2024-02-05,2024-03-05,35000.00,110000.00,880e8400-e29b-41d4-a716-446655440012,2024-01-05T08:11:00Z,system,2024-01-05T08:11:00Z,system
cp60e8400-e29b-41d4-a716-446655440013,Partner Outreach Email,EMAIL,ACTIVE,2024-01-18,2024-02-28,30000.00,85000.00,880e8400-e29b-41d4-a716-446655440013,2024-01-05T08:12:00Z,system,2024-01-05T08:12:00Z,system
cp60e8400-e29b-41d4-a716-446655440014,HR Tech Webinar,WEBINAR,COMPLETED,2023-11-10,2023-11-11,70000.00,190000.00,880e8400-e29b-41d4-a716-446655440014,2023-10-20T08:13:00Z,system,2023-11-12T08:13:00Z,system
cp60e8400-e29b-41d4-a716-446655440015,Retail Roadshow,EVENT,CANCELLED,2024-02-20,2024-02-22,180000.00,0.00,880e8400-e29b-41d4-a716-446655440015,2024-01-05T08:14:00Z,system,2024-02-01T08:14:00Z,system
cp60e8400-e29b-41d4-a716-446655440016,Facebook Lead Ads,SOCIAL_MEDIA,ACTIVE,2024-01-22,2024-02-22,42000.00,130000.00,880e8400-e29b-41d4-a716-446655440016,2024-01-05T08:15:00Z,system,2024-01-05T08:15:00Z,system
cp60e8400-e29b-41d4-a716-446655440017,Year End Email,EMAIL,COMPLETED,2023-12-20,2023-12-31,38000.00,105000.00,880e8400-e29b-41d4-a716-446655440017,2023-12-10T08:16:00Z,system,2024-01-01T08:16:00Z,system
cp60e8400-e29b-41d4-a716-446655440018,Data Analytics Webinar,WEBINAR,PLANNED,2024-03-05,2024-03-06,85000.00,210000.00,880e8400-e29b-41d4-a716-446655440018,2024-01-05T08:17:00Z,system,2024-01-05T08:17:00Z,system
cp60e8400-e29b-41d4-a716-446655440019,Tech Leaders Summit,EVENT,PLANNED,2024-04-01,2024-04-02,300000.00,750000.00,880e8400-e29b-41d4-a716-446655440019,2024-01-05T08:18:00Z,system,2024-01-05T08:18:00Z,system
cp60e8400-e29b-41d4-a716-446655440020,YouTube Ads,SOCIAL_MEDIA,ACTIVE,2024-02-01,2024-03-01,50000.00,160000.00,880e8400-e29b-41d4-a716-446655440020,2024-01-05T08:19:00Z,system,2024-01-05T08:19:00Z,system
cp60e8400-e29b-41d4-a716-446655440021,Customer Success Email,EMAIL,ACTIVE,2024-02-10,2024-03-10,32000.00,95000.00,880e8400-e29b-41d4-a716-446655440021,2024-01-05T08:20:00Z,system,2024-01-05T08:20:00Z,system
cp60e8400-e29b-41d4-a716-446655440022,AI Webinar Series,WEBINAR,ACTIVE,2024-03-15,2024-03-16,110000.00,280000.00,880e8400-e29b-41d4-a716-446655440022,2024-01-05T08:21:00Z,system,2024-01-05T08:21:00Z,system
cp60e8400-e29b-41d4-a716-446655440023,Partner Conference,EVENT,PLANNED,2024-04-10,2024-04-11,220000.00,500000.00,880e8400-e29b-41d4-a716-446655440023,2024-01-05T08:22:00Z,system,2024-01-05T08:22:00Z,system
cp60e8400-e29b-41d4-a716-446655440024,LinkedIn Retargeting,SOCIAL_MEDIA,ACTIVE,2024-02-15,2024-03-15,48000.00,145000.00,880e8400-e29b-41d4-a716-446655440024,2024-01-05T08:23:00Z,system,2024-01-05T08:23:00Z,system
cp60e8400-e29b-41d4-a716-446655440025,Mid-Year Email Campaign,EMAIL,PLANNED,2024-06-01,2024-06-15,55000.00,170000.00,880e8400-e29b-41d4-a716-446655440025,2024-01-05T08:24:00Z,system,2024-01-05T08:24:00Z,system
cp60e8400-e29b-41d4-a716-446655440026,Security Webinar,WEBINAR,PLANNED,2024-04-20,2024-04-21,95000.00,240000.00,880e8400-e29b-41d4-a716-446655440026,2024-01-05T08:25:00Z,system,2024-01-05T08:25:00Z,system
cp60e8400-e29b-41d4-a716-446655440027,Logistics Expo,EVENT,ACTIVE,2024-03-25,2024-03-27,260000.00,620000.00,880e8400-e29b-41d4-a716-446655440027,2024-01-05T08:26:00Z,system,2024-01-05T08:26:00Z,system
cp60e8400-e29b-41d4-a716-446655440028,WhatsApp Marketing,SOCIAL_MEDIA,ACTIVE,2024-02-05,2024-02-20,28000.00,75000.00,880e8400-e29b-41d4-a716-446655440028,2024-01-05T08:27:00Z,system,2024-01-05T08:27:00Z,system
cp60e8400-e29b-41d4-a716-446655440029,SMB Outreach Email,EMAIL,ACTIVE,2024-01-25,2024-02-25,36000.00,98000.00,880e8400-e29b-41d4-a716-446655440029,2024-01-05T08:28:00Z,system,2024-01-05T08:28:00Z,system
cp60e8400-e29b-41d4-a716-446655440030,Cloud Cost Webinar,WEBINAR,COMPLETED,2023-12-10,2023-12-11,82000.00,210000.00,880e8400-e29b-41d4-a716-446655440030,2023-11-25T08:29:00Z,system,2023-12-12T08:29:00Z,system
cp60e8400-e29b-41d4-a716-446655440031,Startup Demo Day,EVENT,PLANNED,2024-05-05,2024-05-05,150000.00,400000.00,880e8400-e29b-41d4-a716-446655440031,2024-01-05T08:30:00Z,system,2024-01-05T08:30:00Z,system
cp60e8400-e29b-41d4-a716-446655440032,Instagram Stories Ads,SOCIAL_MEDIA,ACTIVE,2024-02-12,2024-03-12,26000.00,80000.00,880e8400-e29b-41d4-a716-446655440032,2024-01-05T08:31:00Z,system,2024-01-05T08:31:00Z,system
cp60e8400-e29b-41d4-a716-446655440033,Customer Upgrade Email,EMAIL,ACTIVE,2024-02-08,2024-03-08,34000.00,105000.00,880e8400-e29b-41d4-a716-446655440033,2024-01-05T08:32:00Z,system,2024-01-05T08:32:00Z,system
cp60e8400-e29b-41d4-a716-446655440034,Finance Automation Webinar,WEBINAR,PLANNED,2024-04-05,2024-04-06,88000.00,220000.00,880e8400-e29b-41d4-a716-446655440034,2024-01-05T08:33:00Z,system,2024-01-05T08:33:00Z,system
cp60e8400-e29b-41d4-a716-446655440035,Manufacturing Partner Meet,EVENT,PLANNED,2024-05-20,2024-05-21,210000.00,520000.00,880e8400-e29b-41d4-a716-446655440035,2024-01-05T08:34:00Z,system,2024-01-05T08:34:00Z,system
cp60e8400-e29b-41d4-a716-446655440036,LinkedIn Video Ads,SOCIAL_MEDIA,ACTIVE,2024-03-01,2024-03-31,54000.00,165000.00,880e8400-e29b-41d4-a716-446655440036,2024-01-05T08:35:00Z,system,2024-01-05T08:35:00Z,system
cp60e8400-e29b-41d4-a716-446655440037,End of Quarter Email,EMAIL,PLANNED,2024-03-20,2024-03-31,39000.00,115000.00,880e8400-e29b-41d4-a716-446655440037,2024-01-05T08:36:00Z,system,2024-01-05T08:36:00Z,system
cp60e8400-e29b-41d4-a716-446655440038,DevOps Webinar,WEBINAR,ACTIVE,2024-02-28,2024-02-29,76000.00,195000.00,880e8400-e29b-41d4-a716-446655440038,2024-01-05T08:37:00Z,system,2024-01-05T08:37:00Z,system
cp60e8400-e29b-41d4-a716-446655440039,Tech Careers Fair,EVENT,COMPLETED,2023-11-18,2023-11-18,90000.00,160000.00,880e8400-e29b-41d4-a716-446655440039,2023-11-01T08:38:00Z,system,2023-11-19T08:38:00Z,system
cp60e8400-e29b-41d4-a716-446655440040,Regional Social Push,SOCIAL_MEDIA,ACTIVE,2024-01-30,2024-02-28,31000.00,88000.00,880e8400-e29b-41d4-a716-446655440040,2024-01-05T08:39:00Z,system,2024-01-05T08:39:00Z,system
cp60e8400-e29b-41d4-a716-446655440041,SME Email Nurture,EMAIL,ACTIVE,2024-02-14,2024-03-30,42000.00,125000.00,880e8400-e29b-41d4-a716-446655440041,2024-01-05T08:40:00Z,system,2024-01-05T08:40:00Z,system
cp60e8400-e29b-41d4-a716-446655440042,AI Strategy Webinar,WEBINAR,PLANNED,2024-05-10,2024-05-11,115000.00,300000.00,880e8400-e29b-41d4-a716-446655440042,2024-01-05T08:41:00Z,system,2024-01-05T08:41:00Z,system
cp60e8400-e29b-41d4-a716-446655440043,Partner Roadshow,EVENT,PLANNED,2024-06-05,2024-06-08,280000.00,680000.00,880e8400-e29b-41d4-a716-446655440043,2024-01-05T08:42:00Z,system,2024-01-05T08:42:00Z,system
cp60e8400-e29b-41d4-a716-446655440044,Retargeting Ads,SOCIAL_MEDIA,ACTIVE,2024-02-18,2024-03-18,47000.00,140000.00,880e8400-e29b-41d4-a716-446655440044,2024-01-05T08:43:00Z,system,2024-01-05T08:43:00Z,system
cp60e8400-e29b-41d4-a716-446655440045,Product Update Email,EMAIL,ACTIVE,2024-01-28,2024-02-28,29000.00,82000.00,880e8400-e29b-41d4-a716-446655440045,2024-01-05T08:44:00Z,system,2024-01-05T08:44:00Z,system
cp60e8400-e29b-41d4-a716-446655440046,Sales Enablement Webinar,WEBINAR,ACTIVE,2024-03-08,2024-03-09,83000.00,215000.00,880e8400-e29b-41d4-a716-446655440046,2024-01-05T08:45:00Z,system,2024-01-05T08:45:00Z,system
cp60e8400-e29b-41d4-a716-446655440047,Industry Partner Meet,EVENT,PLANNED,2024-07-01,2024-07-02,240000.00,560000.00,880e8400-e29b-41d4-a716-446655440047,2024-01-05T08:46:00Z,system,2024-01-05T08:46:00Z,system
cp60e8400-e29b-41d4-a716-446655440048,Short Video Ads,SOCIAL_MEDIA,ACTIVE,2024-02-07,2024-02-21,22000.00,70000.00,880e8400-e29b-41d4-a716-446655440048,2024-01-05T08:47:00Z,system,2024-01-05T08:47:00Z,system
cp60e8400-e29b-41d4-a716-446655440049,Loyalty Program Email,EMAIL,PLANNED,2024-04-01,2024-04-30,46000.00,135000.00,880e8400-e29b-41d4-a716-446655440049,2024-01-05T08:48:00Z,system,2024-01-05T08:48:00Z,system
cp60e8400-e29b-41d4-a716-446655440050,Year Kickoff Webinar,WEBINAR,COMPLETED,2024-01-03,2024-01-03,90000.00,240000.00,880e8400-e29b-41d4-a716-446655440050,2024-01-02T08:49:00Z,system,2024-01-02T08:49:00Z,system
