ID,room_ID,bookedBy_ID,date,startTime,endTime,purpose,attendees
RB001,R101,EMP001,2025-01-10,09:00,10:30,Team Meeting,8
RB002,R102,EMP002,2025-01-11,11:00,12:00,Project Discussion,5
RB003,R103,EMP003,2025-01-12,14:00,16:00,Client Presentation,12
RB004,R104,EMP004,2025-01-13,10:00,11:30,Training Session,15
RB005,R105,EMP005,2025-01-14,13:00,14:30,Department Meeting,6
RB006,R106,EMP006,2025-01-15,09:30,11:00,Workshop,20
RB007,R107,EMP007,2025-01-16,15:00,16:30,Strategy Planning,10
RB008,R108,EMP008,2025-01-17,08:00,09:30,Daily Standup,5
RB009,R109,EMP009,2025-01-18,11:00,12:30,Product Demo,8
RB010,R110,EMP010,2025-01-19,14:30,16:00,Client Meeting,7
RB011,R101,EMP011,2025-01-20,10:00,12:00,Quarterly Review,12
RB012,R102,EMP012,2025-01-21,09:00,10:30,Interview,3
RB013,R103,EMP013,2025-01-22,13:00,14:30,Brainstorming Session,9
RB014,R104,EMP014,2025-01-23,15:00,16:30,Team Building,18
RB015,R105,EMP015,2025-01-24,08:30,10:00,Technical Training,14
RB016,R106,EMP016,2025-01-25,11:00,12:30,Project Kickoff,7
RB017,R107,EMP017,2025-01-26,13:30,15:00,Board Meeting,5
RB018,R108,EMP018,2025-01-27,09:00,10:30,Customer Feedback,6
RB019,R109,EMP019,2025-01-28,14:00,15:30,Internal Audit,8
RB020,R110,EMP020,2025-01-29,10:30,12:00,Policy Discussion,4
