ID,subject,activityType_code,dueDate,status_code,priority_code,relatedLead_ID,relatedDeal_ID,owner_ID,createdAt,createdBy,modifiedAt,modifiedBy
ac50e8400-e29b-41d4-a716-446655440001,Initial lead follow-up,CALL,2024-02-01,OPEN,HIGH,c10e8400-e29b-41d4-a716-446655440001,,880e8400-e29b-41d4-a716-446655440001,2024-01-15T08:00:00Z,system,2024-01-15T08:00:00Z,system
ac50e8400-e29b-41d4-a716-446655440002,Send proposal email,TASK,2024-02-02,OPEN,MEDIUM,c10e8400-e29b-41d4-a716-446655440002,,880e8400-e29b-41d4-a716-446655440002,2024-01-15T08:01:00Z,system,2024-01-15T08:01:00Z,system
ac50e8400-e29b-41d4-a716-446655440003,Requirement discussion,MEETING,2024-02-03,COMPLETED,HIGH,c10e8400-e29b-41d4-a716-446655440003,,880e8400-e29b-41d4-a716-446655440003,2024-01-15T08:02:00Z,system,2024-01-15T08:02:00Z,system
ac50e8400-e29b-41d4-a716-446655440004,Negotiation call,CALL,2024-02-04,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440004,880e8400-e29b-41d4-a716-446655440004,2024-01-15T08:03:00Z,system,2024-01-15T08:03:00Z,system
ac50e8400-e29b-41d4-a716-446655440005,Product demo,MEETING,2024-02-05,COMPLETED,MEDIUM,c10e8400-e29b-41d4-a716-446655440005,,880e8400-e29b-41d4-a716-446655440005,2024-01-15T08:04:00Z,system,2024-01-15T08:04:00Z,system
ac50e8400-e29b-41d4-a716-446655440006,Follow-up email,TASK,2024-02-06,OPEN,LOW,,d40e8400-e29b-41d4-a716-446655440006,880e8400-e29b-41d4-a716-446655440006,2024-01-15T08:05:00Z,system,2024-01-15T08:05:00Z,system
ac50e8400-e29b-41d4-a716-446655440007,Contract discussion,MEETING,2024-02-07,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440007,880e8400-e29b-41d4-a716-446655440007,2024-01-15T08:06:00Z,system,2024-01-15T08:06:00Z,system
ac50e8400-e29b-41d4-a716-446655440008,Reminder call,CALL,2024-02-08,OPEN,MEDIUM,c10e8400-e29b-41d4-a716-446655440008,,880e8400-e29b-41d4-a716-446655440008,2024-01-15T08:07:00Z,system,2024-01-15T08:07:00Z,system
ac50e8400-e29b-41d4-a716-446655440009,Deal status review,TASK,2024-02-09,COMPLETED,LOW,,d40e8400-e29b-41d4-a716-446655440009,880e8400-e29b-41d4-a716-446655440009,2024-01-15T08:08:00Z,system,2024-01-15T08:08:00Z,system
ac50e8400-e29b-41d4-a716-446655440010,Client onboarding,MEETING,2024-02-10,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440010,880e8400-e29b-41d4-a716-446655440010,2024-01-15T08:09:00Z,system,2024-01-15T08:09:00Z,system
ac50e8400-e29b-41d4-a716-446655440011,Cold lead call,CALL,2024-02-11,OPEN,LOW,c10e8400-e29b-41d4-a716-446655440011,,880e8400-e29b-41d4-a716-446655440011,2024-01-15T08:10:00Z,system,2024-01-15T08:10:00Z,system
ac50e8400-e29b-41d4-a716-446655440012,Send brochure,TASK,2024-02-12,COMPLETED,LOW,c10e8400-e29b-41d4-a716-446655440012,,880e8400-e29b-41d4-a716-446655440012,2024-01-15T08:11:00Z,system,2024-01-15T08:11:00Z,system
ac50e8400-e29b-41d4-a716-446655440013,Qualification meeting,MEETING,2024-02-13,OPEN,HIGH,c10e8400-e29b-41d4-a716-446655440013,,880e8400-e29b-41d4-a716-446655440013,2024-01-15T08:12:00Z,system,2024-01-15T08:12:00Z,system
ac50e8400-e29b-41d4-a716-446655440014,Negotiation follow-up,CALL,2024-02-14,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440014,880e8400-e29b-41d4-a716-446655440014,2024-01-15T08:13:00Z,system,2024-01-15T08:13:00Z,system
ac50e8400-e29b-41d4-a716-446655440015,Deal closure meeting,MEETING,2024-02-15,COMPLETED,HIGH,,d40e8400-e29b-41d4-a716-446655440015,880e8400-e29b-41d4-a716-446655440015,2024-01-15T08:14:00Z,system,2024-01-15T08:14:00Z,system
ac50e8400-e29b-41d4-a716-446655440016,Weekly pipeline review,TASK,2024-02-16,OPEN,MEDIUM,,d40e8400-e29b-41d4-a716-446655440016,880e8400-e29b-41d4-a716-446655440016,2024-01-15T08:15:00Z,system,2024-01-15T08:15:00Z,system
ac50e8400-e29b-41d4-a716-446655440017,Client feedback call,CALL,2024-02-17,COMPLETED,MEDIUM,,d40e8400-e29b-41d4-a716-446655440017,880e8400-e29b-41d4-a716-446655440017,2024-01-15T08:16:00Z,system,2024-01-15T08:16:00Z,system
