ID,subject,account_ID,deal_ID,totalAmount,status_code,createdAt,createdBy,modifiedAt,modifiedBy
so550e8400-e29b-41d4-a716-446655440001,Sales Order 01,ac001,dl001,118000,OPEN,2024-01-02T08:00:00Z,system,2024-01-02T08:00:00Z,system
so550e8400-e29b-41d4-a716-446655440002,Sales Order 02,ac002,dl002,129800,PROCESSING,2024-01-02T08:01:00Z,system,2024-01-02T08:01:00Z,system
so550e8400-e29b-41d4-a716-446655440003,Sales Order 03,ac003,dl003,141600,COMPLETED,2024-01-02T08:02:00Z,system,2024-01-02T08:02:00Z,system
so550e8400-e29b-41d4-a716-446655440004,Sales Order 04,ac004,dl004,153400,CANCELLED,2024-01-02T08:03:00Z,system,2024-01-02T08:03:00Z,system
so550e8400-e29b-41d4-a716-446655440005,Sales Order 05,ac005,dl005,165200,OPEN,2024-01-02T08:04:00Z,system,2024-01-02T08:04:00Z,system
so550e8400-e29b-41d4-a716-446655440006,Sales Order 06,ac006,dl006,177000,PROCESSING,2024-01-02T08:05:00Z,system,2024-01-02T08:05:00Z,system
so550e8400-e29b-41d4-a716-446655440007,Sales Order 07,ac007,dl007,188800,COMPLETED,2024-01-02T08:06:00Z,system,2024-01-02T08:06:00Z,system
so550e8400-e29b-41d4-a716-446655440008,Sales Order 08,ac008,dl008,200600,CANCELLED,2024-01-02T08:07:00Z,system,2024-01-02T08:07:00Z,system
so550e8400-e29b-41d4-a716-446655440009,Sales Order 09,ac009,dl009,212400,OPEN,2024-01-02T08:08:00Z,system,2024-01-02T08:08:00Z,system
so550e8400-e29b-41d4-a716-446655440010,Sales Order 10,ac010,dl010,224200,PROCESSING,2024-01-02T08:09:00Z,system,2024-01-02T08:09:00Z,system
so550e8400-e29b-41d4-a716-446655440011,Sales Order 11,ac011,dl011,236000,COMPLETED,2024-01-02T08:10:00Z,system,2024-01-02T08:10:00Z,system
so550e8400-e29b-41d4-a716-446655440012,Sales Order 12,ac012,dl012,247800,CANCELLED,2024-01-02T08:11:00Z,system,2024-01-02T08:11:00Z,system
so550e8400-e29b-41d4-a716-446655440013,Sales Order 13,ac013,dl013,259600,OPEN,2024-01-02T08:12:00Z,system,2024-01-02T08:12:00Z,system
so550e8400-e29b-41d4-a716-446655440014,Sales Order 14,ac014,dl014,271400,PROCESSING,2024-01-02T08:13:00Z,system,2024-01-02T08:13:00Z,system
so550e8400-e29b-41d4-a716-446655440015,Sales Order 15,ac015,dl015,283200,COMPLETED,2024-01-02T08:14:00Z,system,2024-01-02T08:14:00Z,system
so550e8400-e29b-41d4-a716-446655440016,Sales Order 16,ac016,dl016,295000,CANCELLED,2024-01-02T08:15:00Z,system,2024-01-02T08:15:00Z,system
so550e8400-e29b-41d4-a716-446655440017,Sales Order 17,ac017,dl017,306800,OPEN,2024-01-02T08:16:00Z,system,2024-01-02T08:16:00Z,system
so550e8400-e29b-41d4-a716-446655440018,Sales Order 18,ac018,dl018,318600,PROCESSING,2024-01-02T08:17:00Z,system,2024-01-02T08:17:00Z,system
so550e8400-e29b-41d4-a716-446655440019,Sales Order 19,ac019,dl019,330400,COMPLETED,2024-01-02T08:18:00Z,system,2024-01-02T08:18:00Z,system
so550e8400-e29b-41d4-a716-446655440020,Sales Order 20,ac020,dl020,342200,CANCELLED,2024-01-02T08:19:00Z,system,2024-01-02T08:19:00Z,system
so550e8400-e29b-41d4-a716-446655440021,Sales Order 21,ac021,dl021,354000,OPEN,2024-01-02T08:20:00Z,system,2024-01-02T08:20:00Z,system
so550e8400-e29b-41d4-a716-446655440022,Sales Order 22,ac022,dl022,365800,PROCESSING,2024-01-02T08:21:00Z,system,2024-01-02T08:21:00Z,system
so550e8400-e29b-41d4-a716-446655440023,Sales Order 23,ac023,dl023,377600,COMPLETED,2024-01-02T08:22:00Z,system,2024-01-02T08:22:00Z,system
so550e8400-e29b-41d4-a716-446655440024,Sales Order 24,ac024,dl024,389400,CANCELLED,2024-01-02T08:23:00Z,system,2024-01-02T08:23:00Z,system
so550e8400-e29b-41d4-a716-446655440025,Sales Order 25,ac025,dl025,401200,OPEN,2024-01-02T08:24:00Z,system,2024-01-02T08:24:00Z,system
so550e8400-e29b-41d4-a716-446655440026,Sales Order 26,ac026,dl026,407100,PROCESSING,2024-01-02T08:25:00Z,system,2024-01-02T08:25:00Z,system
so550e8400-e29b-41d4-a716-446655440027,Sales Order 27,ac027,dl027,412000,COMPLETED,2024-01-02T08:26:00Z,system,2024-01-02T08:26:00Z,system
so550e8400-e29b-41d4-a716-446655440028,Sales Order 28,ac028,dl028,418500,CANCELLED,2024-01-02T08:27:00Z,system,2024-01-02T08:27:00Z,system
