ID,assetTag,name,category_code,assignedTo_ID,purchaserDate,cost,currency_code,status
A1B2C,AT-001,Laptop Pro 14,AC01,EMP001,2023-03-15,72000,INR,IN_USE
D4E5F,AT-002,Desktop Tower i5,AC02,EMP002,2022-11-10,55000,INR,AVAILABLE
G6H7I,AT-003,LED Monitor 24,AC03,EMP003,2024-01-05,11000,INR,IN_USE
J8K9L,AT-004,Mechanical Keyboard,AC04,EMP004,2023-09-28,3500,INR,AVAILABLE
M1N2O,AT-005,Wireless Mouse,AC05,EMP005,2023-12-01,1500,INR,AVAILABLE
P3Q4R,AT-006,Office Laser Printer,AC06,EMP006,2022-07-18,17500,INR,REPAIR
S5T6U,AT-007,Ceiling Projector,AC07,EMP007,2023-05-25,40000,INR,IN_USE
V7W8X,AT-008,Ergonomic Chair Black,AC08,EMP008,2023-08-12,9500,INR,IN_USE
Y9Z1A,AT-009,Wooden Office Desk,AC09,EMP009,2022-12-19,16000,INR,IN_USE
B2C3D,AT-010,Dual-Band Router,AC10,EMP010,2023-12-29,21000,INR,AVAILABLE
E4F5G,AT-011,Gigabit Network Switch,AC11,EMP011,2023-06-15,34000,INR,IN_USE
H6I7J,AT-012,IP Desk Phone,AC12,EMP012,2023-03-02,5800,INR,IN_USE
K8L9M,AT-013,Wireless Headset,AC13,EMP013,2024-01-20,4200,INR,AVAILABLE
N1O2P,AT-014,1.5 Ton AC Unit,AC14,EMP014,2022-09-14,38000,INR,RETIRED
Q3R4S,AT-015,Magnetic Whiteboard,AC15,EMP015,2023-04-10,3200,INR,AVAILABLE
T5U6V,AT-016,UPS 1.2kVA,AC16,EMP016,2023-02-07,8500,INR,IN_USE
W7X8Y,AT-017,HD CCTV Camera,AC17,EMP017,2023-10-09,5400,INR,IN_USE
Z9A1B,AT-018,Rack Server Model X,AC18,EMP018,2022-05-21,125000,INR,IN_USE
C2D3E,AT-019,Steel Storage Cabinet,AC19,EMP019,2023-07-02,7800,INR,AVAILABLE
F4G5H,AT-020,Document Scanner Pro,AC20,EMP020,2023-11-11,14500,INR,IN_USE
