ID,vendorName,email,phone,website,address,createdAt,createdBy,modifiedAt,modifiedBy
vn90e8400-e29b-41d4-a716-446655440001,Alpha Tech Solutions,contact@alphatech.com,900000001,www.alphatech.com,Bangalore KA India,2024-01-08T08:00:00Z,system,2024-01-08T08:00:00Z,system
vn90e8400-e29b-41d4-a716-446655440002,Beta Software Labs,info@betasoft.com,900000002,www.betasoft.com,Mumbai MH India,2024-01-08T08:01:00Z,system,2024-01-08T08:01:00Z,system
vn90e8400-e29b-41d4-a716-446655440003,Gamma IT Services,sales@gammait.com,900000003,www.gammait.com,Pune MH India,2024-01-08T08:02:00Z,system,2024-01-08T08:02:00Z,system
vn90e8400-e29b-41d4-a716-446655440004,Delta Systems,hello@deltasys.com,900000004,www.deltasys.com,Hyderabad TS India,2024-01-08T08:03:00Z,system,2024-01-08T08:03:00Z,system
vn90e8400-e29b-41d4-a716-446655440005,Epsilon Infotech,contact@epsilon.com,900000005,www.epsilon.com,Chennai TN India,2024-01-08T08:04:00Z,system,2024-01-08T08:04:00Z,system
vn90e8400-e29b-41d4-a716-446655440006,Zeta Cloud,zeta@zetacloud.com,900000006,www.zetacloud.com,Delhi India,2024-01-08T08:05:00Z,system,2024-01-08T08:05:00Z,system
vn90e8400-e29b-41d4-a716-446655440007,Eta Consulting,info@etaconsult.com,900000007,www.etaconsult.com,Noida UP India,2024-01-08T08:06:00Z,system,2024-01-08T08:06:00Z,system
vn90e8400-e29b-41d4-a716-446655440008,Theta Analytics,contact@thetaanalytics.com,900000008,www.thetaanalytics.com,Gurgaon HR India,2024-01-08T08:07:00Z,system,2024-01-08T08:07:00Z,system
vn90e8400-e29b-41d4-a716-446655440009,Iota Technologies,support@iotatech.com,900000009,www.iotatech.com,Bangalore KA India,2024-01-08T08:08:00Z,system,2024-01-08T08:08:00Z,system
vn90e8400-e29b-41d4-a716-446655440010,Kappa Industries,info@kappaind.com,900000010,www.kappaind.com,Ahmedabad GJ India,2024-01-08T08:09:00Z,system,2024-01-08T08:09:00Z,system
vn90e8400-e29b-41d4-a716-446655440011,Lambda Solutions,hello@lambdasol.com,900000011,www.lambdasol.com,Pune MH India,2024-01-08T08:10:00Z,system,2024-01-08T08:10:00Z,system
vn90e8400-e29b-41d4-a716-446655440012,Mu Softwares,contact@musoft.com,900000012,www.musoft.com,Bangalore KA India,2024-01-08T08:11:00Z,system,2024-01-08T08:11:00Z,system
