code,symbol,minorUnit,name,descr
USD,$,2,US Dollar,Official currency of the United States
EUR,€,2,Euro,Official currency of the Eurozone
INR,₹,2,Indian Rupee,Official currency of India
GBP,£,2,British Pound,Official currency of the United Kingdom
JPY,¥,0,Japanese Yen,Official currency of Japan
AUD,$,2,Australian Dollar,Official currency of Australia
CAD,$,2,Canadian Dollar,Official currency of Canada
CHF,CHF,2,Swiss Franc,Official currency of Switzerland
CNY,¥,2,Chinese Yuan,Official currency of China
SEK,kr,2,Swedish Krona,Official currency of Sweden
NZD,$,2,New Zealand Dollar,Official currency of New Zealand
SGD,$,2,Singapore Dollar,Official currency of Singapore
HKD,$,2,Hong Kong Dollar,Official currency of Hong Kong
NOK,kr,2,Norwegian Krone,Official currency of Norway
KRW,₩,0,South Korean Won,Official currency of South Korea
MXN,$,2,Mexican Peso,Official currency of Mexico
ZAR,R,2,South African Rand,Official currency of South Africa
BRL,R$,2,Brazilian Real,Official currency of Brazil
AED,د.إ,2,UAE Dirham,Official currency of the United Arab Emirates
SAR,﷼,2,Saudi Riyal,Official currency of Saudi Arabia
