ID,dealName,account_ID,contact_ID,amount,stage_code,probability,closingDate,owner_ID,createdAt,createdBy,modifiedAt,modifiedBy
d40e8400-e29b-41d4-a716-446655440001,CRM Implementation,a20e8400-e29b-41d4-a716-446655440001,c30e8400-e29b-41d4-a716-446655440001,250000.00,PROSPECTING,20,2024-03-15,880e8400-e29b-41d4-a716-446655440001,2024-01-13T08:00:00Z,system,2024-01-13T08:00:00Z,system
d40e8400-e29b-41d4-a716-446655440002,Finance Automation,a20e8400-e29b-41d4-a716-446655440002,c30e8400-e29b-41d4-a716-446655440002,450000.00,QUALIFICATION,35,2024-03-18,880e8400-e29b-41d4-a716-446655440002,2024-01-13T08:01:00Z,system,2024-01-13T08:01:00Z,system
d40e8400-e29b-41d4-a716-446655440003,Manufacturing ERP,a20e8400-e29b-41d4-a716-446655440003,c30e8400-e29b-41d4-a716-446655440003,980000.00,PROPOSAL,55,2024-04-01,880e8400-e29b-41d4-a716-446655440003,2024-01-13T08:02:00Z,system,2024-01-13T08:02:00Z,system
d40e8400-e29b-41d4-a716-446655440004,Cloud Migration,a20e8400-e29b-41d4-a716-446655440004,c30e8400-e29b-41d4-a716-446655440004,620000.00,NEGOTIATION,70,2024-04-05,880e8400-e29b-41d4-a716-446655440004,2024-01-13T08:03:00Z,system,2024-01-13T08:03:00Z,system
d40e8400-e29b-41d4-a716-446655440005,Healthcare CRM,a20e8400-e29b-41d4-a716-446655440005,c30e8400-e29b-41d4-a716-446655440005,310000.00,QUALIFICATION,40,2024-03-22,880e8400-e29b-41d4-a716-446655440005,2024-01-13T08:04:00Z,system,2024-01-13T08:04:00Z,system
d40e8400-e29b-41d4-a716-446655440006,Logistics Platform,a20e8400-e29b-41d4-a716-446655440006,c30e8400-e29b-41d4-a716-446655440006,850000.00,PROPOSAL,60,2024-04-10,880e8400-e29b-41d4-a716-446655440006,2024-01-13T08:05:00Z,system,2024-01-13T08:05:00Z,system
d40e8400-e29b-41d4-a716-446655440007,Consulting Retainer,a20e8400-e29b-41d4-a716-446655440007,c30e8400-e29b-41d4-a716-446655440007,180000.00,PROSPECTING,15,2024-03-30,880e8400-e29b-41d4-a716-446655440007,2024-01-13T08:06:00Z,system,2024-01-13T08:06:00Z,system
d40e8400-e29b-41d4-a716-446655440008,Banking Analytics,a20e8400-e29b-41d4-a716-446655440008,c30e8400-e29b-41d4-a716-446655440008,720000.00,NEGOTIATION,75,2024-04-12,880e8400-e29b-41d4-a716-446655440008,2024-01-13T08:07:00Z,system,2024-01-13T08:07:00Z,system
d40e8400-e29b-41d4-a716-446655440009,IT Support Contract,a20e8400-e29b-41d4-a716-446655440009,c30e8400-e29b-41d4-a716-446655440009,260000.00,QUALIFICATION,45,2024-03-25,880e8400-e29b-41d4-a716-446655440009,2024-01-13T08:08:00Z,system,2024-01-13T08:08:00Z,system
d40e8400-e29b-41d4-a716-446655440010,Industrial Automation,a20e8400-e29b-41d4-a716-446655440010,c30e8400-e29b-41d4-a716-446655440010,1200000.00,NEGOTIATION,80,2024-04-20,880e8400-e29b-41d4-a716-446655440010,2024-01-13T08:09:00Z,system,2024-01-13T08:09:00Z,system
d40e8400-e29b-41d4-a716-446655440011,Education LMS,a20e8400-e29b-41d4-a716-446655440011,c30e8400-e29b-41d4-a716-446655440011,340000.00,PROPOSAL,55,2024-04-02,880e8400-e29b-41d4-a716-446655440011,2024-01-13T08:10:00Z,system,2024-01-13T08:10:00Z,system
d40e8400-e29b-41d4-a716-446655440012,Enterprise SaaS,a20e8400-e29b-41d4-a716-446655440012,c30e8400-e29b-41d4-a716-446655440012,980000.00,NEGOTIATION,78,2024-04-18,880e8400-e29b-41d4-a716-446655440012,2024-01-13T08:11:00Z,system,2024-01-13T08:11:00Z,system
d40e8400-e29b-41d4-a716-446655440013,Client Services,a20e8400-e29b-41d4-a716-446655440013,c30e8400-e29b-41d4-a716-446655440013,210000.00,QUALIFICATION,35,2024-03-27,880e8400-e29b-41d4-a716-446655440013,2024-01-13T08:12:00Z,system,2024-01-13T08:12:00Z,system
d40e8400-e29b-41d4-a716-446655440014,Tech Upgrade,a20e8400-e29b-41d4-a716-446655440014,c30e8400-e29b-41d4-a716-446655440014,540000.00,PROPOSAL,58,2024-04-06,880e8400-e29b-41d4-a716-446655440014,2024-01-13T08:13:00Z,system,2024-01-13T08:13:00Z,system
d40e8400-e29b-41d4-a716-446655440015,Retail POS,a20e8400-e29b-41d4-a716-446655440015,c30e8400-e29b-41d4-a716-446655440015,300000.00,PROSPECTING,25,2024-03-28,880e8400-e29b-41d4-a716-446655440015,2024-01-13T08:14:00Z,system,2024-01-13T08:14:00Z,system
d40e8400-e29b-41d4-a716-446655440016,HR Automation,a20e8400-e29b-41d4-a716-446655440016,c30e8400-e29b-41d4-a716-446655440016,410000.00,QUALIFICATION,42,2024-03-29,880e8400-e29b-41d4-a716-446655440016,2024-01-13T08:15:00Z,system,2024-01-13T08:15:00Z,system
