ID,name,city,country_code,address
301PQ,Grand Event Center,New York,US,123 Main St, New York, NY 10001
302RS,Sunshine Hall,Mumbai,IN,45 Marine Drive, Mumbai, MH 400001
303TU,Elite Arts Complex,London,UK,22 King's Road, London, SW3 5UZ
304VW,BlueWave Arena,Sydney,AU,88 Harbour St, Sydney, NSW 2000
305WX,NextGen Convention Hall,San Francisco,US,150 Market St, San Francisco, CA 94105
306JK,Star Event Plaza,Delhi,IN,10 Connaught Place, New Delhi, DL 110001
307LM,MegaShow Grounds,Los Angeles,US,500 Sunset Blvd, Los Angeles, CA 90028
308MN,Inspire Conference Center,Berlin,DE,12 Alexanderplatz, Berlin, 10178
309OP,Galaxy Exhibition Hall,Paris,FR,33 Rue de Rivoli, Paris, 75001
310QR,PrimeStage Auditorium,New York,US,200 Broadway, New York, NY 10007
311ST,Creative Minds Hub,Mumbai,IN,55 Linking Rd, Mumbai, MH 400050
312UV,WorldClass Arena,Tokyo,JP,1 Chome-1-2 Oshiage, Sumida, Tokyo 131-0045
313WX,ProConnect Pavilion,Boston,US,78 Cambridge St, Boston, MA 02114
314FG,Stellar Exhibition Center,Sydney,AU,99 George St, Sydney, NSW 2000
315ZA,EventNest Hall,Delhi,IN,33 Janpath Rd, New Delhi, DL 110001
316BC,SilverLine Convention Hall,Portland,US,22 NW Davis St, Portland, OR 97209
317DE,OpenSky Event Grounds,Dubai,AE,101 Sheikh Zayed Rd, Dubai, 00000
318HI,Matrix Event House,Rio de Janeiro,BR,200 Av. Atlântica, Rio de Janeiro, 22021-001
319KL,LivePro Arena,Cape Town,ZA,45 Long St, Cape Town, 8001
320MN,UltraWave Center,New York,US,77 Wall Street, New York, NY 10005
