ID,title,category_code,organizer_ID,venue_ID,startDate,endDate
101AB,Live Concert Night,CO,201XY,301PQ,2025-02-05,2025-02-05
102BC,Classical Orchestra Evening,CC,202YZ,302RS,2025-03-11,2025-03-11
103CD,Cricket Summer Cup,CR,203QR,303TU,2025-04-01,2025-04-10
104DE,Sports Championship,SP,204LM,304VW,2025-02-18,2025-02-19
105EF,Standup Comedy Special,ST,205NP,305WX,2025-06-15,2025-06-15
106FG,Open Mic Talent Night,OM,206BD,306JK,2025-05-03,2025-05-03
107GH,Tech Innovation Conference,TC,207RT,307HU,2025-09-20,2025-09-22
108HI,Business Leadership Summit,BS,208YU,308OP,2025-07-10,2025-07-11
109IJ,Art & Sculpture Expo,AE,209SD,309KL,2025-03-15,2025-03-18
110JK,Auto Expo 2025,AX,210ER,310GH,2025-08-01,2025-08-03
111KL,Hands-on Robotics Workshop,WS,211GT,311MN,2025-01-20,2025-01-20
112LM,Coding Bootcamp Weekend,CB,212HF,312QR,2025-04-25,2025-04-27
113MN,International Food Carnival,FP,213JW,313ST,2025-11-10,2025-11-12
114NO,VIP Exclusive Gala,VL,214KP,314UV,2025-10-05,2025-10-05
115OP,Merchandise Launch Event,MD,215MC,315WX,2025-06-01,2025-06-01
116PQ,Reserved Parking Access,PK,216NB,316FG,2025-02-05,2025-02-05
117QR,National Science Expo,SX,217TR,317ZA,2025-09-14,2025-09-18
118RS,Music Festival Weekend,MF,218PO,318BC,2025-12-01,2025-12-03
119ST,Film Premiere Night,FPrem,219LK,319DE,2025-03-02,2025-03-02
120TU,Education Opportunities Fair,EF,220QW,320HI,2025-07-22,2025-07-23
