ID,accountName,website,phone,industry,annualRevenue,billingAddress,shippingAddress,owner_ID,createdAt,createdBy,modifiedAt,modifiedBy
a20e8400-e29b-41d4-a716-446655440001,Alpha Tech Pvt Ltd,www.alphatech.com,900100001,IT,1500000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440001,2024-01-11T08:00:00Z,system,2024-01-11T08:00:00Z,system
a20e8400-e29b-41d4-a716-446655440002,Beta Solutions,www.betasolutions.com,900100002,Finance,2750000.00,Mumbai MH India,Mumbai MH India,880e8400-e29b-41d4-a716-446655440002,2024-01-11T08:01:00Z,system,2024-01-11T08:01:00Z,system
a20e8400-e29b-41d4-a716-446655440003,Gamma Corp,www.gammacorp.com,900100003,Manufacturing,4200000.00,Pune MH India,Pune MH India,880e8400-e29b-41d4-a716-446655440003,2024-01-11T08:02:00Z,system,2024-01-11T08:02:00Z,system
a20e8400-e29b-41d4-a716-446655440004,Delta Systems,www.deltasystems.com,900100004,IT,3100000.00,Hyderabad TS India,Hyderabad TS India,880e8400-e29b-41d4-a716-446655440004,2024-01-11T08:03:00Z,system,2024-01-11T08:03:00Z,system
a20e8400-e29b-41d4-a716-446655440005,Epsilon Healthcare,www.epsilonhealth.com,900100005,Healthcare,2250000.00,Chennai TN India,Chennai TN India,880e8400-e29b-41d4-a716-446655440005,2024-01-11T08:04:00Z,system,2024-01-11T08:04:00Z,system
a20e8400-e29b-41d4-a716-446655440006,Zeta Logistics,www.zetalogistics.com,900100006,Logistics,5100000.00,Delhi India,Delhi India,880e8400-e29b-41d4-a716-446655440006,2024-01-11T08:05:00Z,system,2024-01-11T08:05:00Z,system
a20e8400-e29b-41d4-a716-446655440007,Eta Consulting,www.etaconsulting.com,900100007,Consulting,1800000.00,Noida UP India,Noida UP India,880e8400-e29b-41d4-a716-446655440007,2024-01-11T08:06:00Z,system,2024-01-11T08:06:00Z,system
a20e8400-e29b-41d4-a716-446655440008,Theta Finance,www.thetafinance.com,900100008,Finance,3650000.00,Gurgaon HR India,Gurgaon HR India,880e8400-e29b-41d4-a716-446655440008,2024-01-11T08:07:00Z,system,2024-01-11T08:07:00Z,system
a20e8400-e29b-41d4-a716-446655440009,Iota Technologies,www.iotatech.com,900100009,IT,2900000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440009,2024-01-11T08:08:00Z,system,2024-01-11T08:08:00Z,system
a20e8400-e29b-41d4-a716-446655440010,Kappa Industries,www.kappaindustries.com,900100010,Manufacturing,6400000.00,Ahmedabad GJ India,Ahmedabad GJ India,880e8400-e29b-41d4-a716-446655440010,2024-01-11T08:09:00Z,system,2024-01-11T08:09:00Z,system
