code,name,descr
CO,Concert,Live music performance by artists or bands
CC,ClassicalConcert,Orchestral or instrumental classical music event
SP,SportsMatch,Competitive physical sporting event
CR,CricketEvent,Professional or amateur cricket competition
ST,StandupComedy,Live comedy show by a stand-up comedian
OM,OpenMicNight,Open performance event for new artists
TC,TechConference,Conference focused on technology and digital trends
BS,BusinessSummit,Corporate leadership and strategy conference
AE,ArtExhibition,Display of artistic works and creative installations
AX,AutoExpo,Showcase of new automobiles and innovations
WS,Workshop,Hands-on interactive learning session
CB,CodingBootcamp,Intensive software development training program
FP,FoodPass,Access to food and beverages during the event
VL,VIPLounge,Exclusive lounge access with premium facilities
MD,MerchandiseKit,Event merchandise including goodies and apparel
PK,ParkingPass,Reserved parking facility for attendees
SX,ScienceExpo,Science exhibits showcasing innovations and experiments
MF,MusicFestival,Outdoor multi-artist music festival event
FPrem,FilmPremiere,Exclusive movie screening before public release
EF,EducationFair,Exhibition of educational institutions and programs
